"1","908a","moderately","moderately","moderately","hardly","moderately","moderately","moderately","moderately","moderately","hardly","27"
"2","bfbfef","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","27"
"3","c2ee74","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","46"
"4","b509f0","exactly","moderately","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","48"
"5","ef85","not","hardly","not","hardly","moderately","moderately","hardly","moderately","moderately","hardly","32"
"6","323e3c","exactly","moderately","moderately","moderately","exactly","exactly","exactly","moderately","moderately","exactly","61"
"7","d0cc61","moderately","moderately","moderately","hardly","hardly","moderately","hardly","moderately","moderately","moderately","36"
"8","b1704b","moderately","hardly","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","54"
"9","6ac6","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","42"
"10","f919d4","moderately","hardly","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","322"
"11","679ab6","exactly","moderately","exactly","moderately","moderately","exactly","exactly","moderately","exactly","moderately","125"
"12","449abd","exactly","moderately","moderately","moderately","exactly","exactly","moderately","exactly","exactly","exactly","33"
"13","c3f133","moderately","exactly","moderately","exactly","moderately","exactly","moderately","hardly","moderately","moderately","48"
"14","f56e83","moderately","hardly","moderately","moderately","moderately","exactly","exactly","moderately","moderately","moderately","48"
"15","268328","exactly","moderately","exactly","moderately","exactly","exactly","hardly","moderately","moderately","exactly","37"
"16","d8ec4c","exactly","moderately","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","26"
"17","3e1aef","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","54"
"18","a4c560","exactly","moderately","exactly","moderately","moderately","exactly","moderately","moderately","moderately","exactly","59"
"19","1cbd","exactly","moderately","exactly","exactly","exactly","exactly","exactly","moderately","exactly","moderately","96"
"20","9b31","hardly","hardly","moderately","not","hardly","moderately","not","hardly","moderately","hardly","66"
"21","8d84ad","moderately","moderately","exactly","exactly","moderately","moderately","moderately","moderately","moderately","moderately","38"
"22","17daab","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","33"
"23","c7e2","exactly","moderately","exactly","exactly","exactly","exactly","moderately","exactly","exactly","exactly","73"
"24","bb8c17","moderately","hardly","exactly","moderately","exactly","exactly","moderately","exactly","exactly","moderately","38"
"25","bb5725","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","44"
"26","8a2e","exactly","moderately","moderately","moderately","exactly","exactly","moderately","exactly","exactly","moderately","71"
"27","a278","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","31"
"28","8fc42f","exactly","moderately","moderately","moderately","moderately","exactly","moderately","moderately","moderately","exactly","260"
"29","65bf89","moderately","hardly","moderately","moderately","moderately","moderately","moderately","moderately","exactly","exactly","33"
"30","0d1a","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","763"
"31","397aac","hardly","moderately","exactly","hardly","moderately","moderately","hardly","moderately","moderately","hardly","26"
"32","d47a64","exactly","moderately","exactly","moderately","exactly","exactly","exactly","moderately","exactly","moderately","33"
"33","955e46","moderately","moderately","moderately","hardly","hardly","moderately","moderately","moderately","hardly","hardly","43"
"34","2dfc","exactly","hardly","moderately","moderately","moderately","exactly","moderately","moderately","moderately","moderately","32"
"35","e2d6c5","hardly","hardly","hardly","hardly","hardly","moderately","not","hardly","hardly","hardly","44"
"36","73109b","moderately","moderately","hardly","moderately","exactly","exactly","exactly","exactly","exactly","exactly","39"
"37","3d1f41","moderately","moderately","moderately","moderately","moderately","exactly","hardly","moderately","moderately","exactly","59"
"38","9bfc58","moderately","hardly","moderately","hardly","moderately","moderately","hardly","moderately","moderately","moderately","24"
"39","ab70","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","26"
"40","fd246e","exactly","moderately","exactly","exactly","exactly","exactly","exactly","exactly","exactly","exactly","52"
"41","27f51b","exactly","exactly","moderately","exactly","exactly","exactly","exactly","moderately","exactly","exactly","21"
"42","69de","exactly","moderately","exactly","exactly","exactly","exactly","exactly","moderately","moderately","exactly","23"
"43","09564c","moderately","moderately","moderately","hardly","hardly","moderately","hardly","moderately","moderately","moderately","35"
"44","4096f1","moderately","hardly","moderately","moderately","moderately","moderately","exactly","moderately","moderately","exactly","46"
"45","15a738","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","30"
"46","467b","not","not","hardly","hardly","not","hardly","not","not","not","hardly","45"
"47","be2f","exactly","moderately","exactly","moderately","exactly","exactly","exactly","exactly","exactly","exactly","23"
"48","d10245","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","50"
"49","bbc0","moderately","moderately","moderately","exactly","moderately","exactly","exactly","moderately","moderately","exactly","37"
"50","a98556","moderately","moderately","hardly","moderately","exactly","moderately","exactly","exactly","exactly","moderately","42"
"51","7528","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","moderately","144"
"52","c81f","moderately","moderately","hardly","moderately","moderately","moderately","moderately","moderately","moderately","moderately","53"
"53","619d16","not","not","hardly","hardly","not","hardly","not","not","not","hardly","40"
"54","fb8586","moderately","moderately","hardly","moderately","moderately","moderately","moderately","moderately","moderately","moderately","35"
